"Save Custom Redirect","Save Custom Redirect"
"Edit Custom Redirect '%1'","Edit Custom Redirect '%1'"
"New Redirect","New Redirect"
"Custom Redirect Properties","Custom Redirect Properties"
"SEO Redirect Settings","SEO Redirect Settings"
Status,Status
"Redirect Code","Redirect Code"
"Redirect From:","Redirect From:"
Type,Type
"Store URL part will be added automatically:<br>
                            'my/custom/url' will be converted to 'http[s]://(store_URL_here)/my/custom/url'","Store URL part will be added automatically:<br>
                            'my/custom/url' will be converted to 'http[s]://(store_URL_here)/my/custom/url'"
URL,URL
"Redirect To:","Redirect To:"
"Link without 'http[s]://' as 'my/custom/url' 
                            will be converted to 'http[s]://(store_URL_here)/my/custom/url'<br>
                            Link with 'http[s]://' will be added as it is.","Link without 'http[s]://' as 'my/custom/url' 
                            will be converted to 'http[s]://(store_URL_here)/my/custom/url'<br>
                            Link with 'http[s]://' will be added as it is."
"Select Category...","Select Category..."
"Select Product...","Select Product..."
"Select Page...","Select Page..."
"Store View","Store View"
"Custom Redirect","Custom Redirect"
Redirect,Redirect
"New Custom Redirect","New Custom Redirect"
"The Custom Redirect has been deleted.","The Custom Redirect has been deleted."
"Custom Redirect is not found.","Custom Redirect is not found."
"Custom Redirects","Custom Redirects"
"Please correct the sent data.","Please correct the sent data."
"Something went wrong while saving the redirect.","Something went wrong while saving the redirect."
"Request and target entities(URLs) can't be identical!","Request and target entities(URLs) can't be identical!"
"It is impossible to save redirect for %storeName Store","It is impossible to save redirect for %storeName Store"
"The redirect for %storeName Store has been saved.","The redirect for %storeName Store has been saved."
category,category
product,product
"CMS page","CMS page"
"Note. For ""%storeName"" Store the input Request Path (%requestPath) is identical to url key of product (ID#%productId) and more priority than it","Note. For ""%storeName"" Store the input Request Path (%requestPath) is identical to url key of product (ID#%productId) and more priority than it"
"Redirects for Deleted Products","Redirects for Deleted Products"
"Could not save the redirect: %1","Could not save the redirect: %1"
"Custom Redirect with id ""%1"" does not exist.","Custom Redirect with id ""%1"" does not exist."
"Could not delete the redirect: %1","Could not delete the redirect: %1"
Root,Root
Enable,Enable
Disable,Disable
"Product Category","Product Category"
"Priority Category","Priority Category"
"Moved Permanently","Moved Permanently"
Found,Found
"Custom URL","Custom URL"
Product,Product
Category,Category
Page,Page
Disabled,Disabled
Enabled,Enabled
"Request Entity Type - %entityType (%identifier) for store ""%storeName"" already exists. Redirect wasn't saved","Request Entity Type - %entityType (%identifier) for store ""%storeName"" already exists. Redirect wasn't saved"
"UNKNOWN CATEGORY","UNKNOWN CATEGORY"
"All Store Views","All Store Views"
Edit,Edit
Delete,Delete
"Delete Redirect","Delete Redirect"
"Are you sure you want to delete the selected redirect?","Are you sure you want to delete the selected redirect?"
"UNKNOWN PRODUCT","UNKNOWN PRODUCT"
"UNKNOWN PAGE","UNKNOWN PAGE"
SEO,SEO
"SEO Redirects","SEO Redirects"
"Enable ▾","Enable ▾"
"Keep URLs For Removed Entities","Keep URLs For Removed Entities"
"For Deleted Products","For Deleted Products"
"Redirect Type","Redirect Type"
"Default Redirect To","Default Redirect To"
"Time period (in days) to keep redirects on the website","Time period (in days) to keep redirects on the website"
"Can be set between 30 and 365 days","Can be set between 30 and 365 days"
"Product Redirect Priority","Product Redirect Priority"
"Add New Redirect","Add New Redirect"
"Delete items","Delete items"
ID,ID
"Request Entity Type","Request Entity Type"
"Request Entity Identifier","Request Entity Identifier"
"Target Entity Type","Target Entity Type"
"Target Entity Identifier","Target Entity Identifier"
Created,Created
Updated,Updated
"Is Autogenerated","Is Autogenerated"
"Are you sure you want to delete selected redirects?","Are you sure you want to delete selected redirects?"
"Product ID","Product ID"
"Product Name","Product Name"
"Request Path","Request Path"
"Product Category ID (Name)","Product Category ID (Name)"
"Priority Category ID (Name)","Priority Category ID (Name)"
Hits,Hits
